linenumber,name,address_one,address_two,city,state,zip,amount,date,year
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,350,9/17/12,2012
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,500,10/17/13,2013
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,5000,7/24/06,2006
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,3000,11/13/07,2007
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,1000,1/24/08,2008
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,5000,3/17/08,2008
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,5000,8/12/08,2008
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,1000,6/1/09,2009
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,5000,9/24/09,2009
SB21,National Action Network,1941 Madison Ave,,New York,NY,100351801,200,12/11/09,2009
SB21,National Ethnic Coalition of Organization,232 Madison Avenue,Suite 900,New York,NY,10016,250,8/10/07,2007
SB21,National Jazz Musuem of Harlem,104 East 126th Street,,New York,NY,10035,1000,8/6/13,2013
SB21,"National Puerto Rican Day Parade, Inc.",2804 Third Avenue,5th Floor,Bronx,NY,10455,250,6/9/09,2009
SB21,"National Puerto Rican Day Parade, Inc.",2804 Third Avenue,5th Floor,Bronx,NY,10455,500,6/8/12,2012
SB21,"National Puerto Rican Day Parade, Inc.",2804 Third Avenue,5th Floor,Bronx,NY,10455,500,5/29/13,2013
SB21,NECO,555 Madison Ave,Fl 12,New York,NY,100223301,250,7/5/05,2005
SB21,"Neighborhood Defender Service, Inc.",317 Lenox Avenue,,New York,NY,10027,1000,9/11/08,2008
SB21,NAACP New York Branch,Attn: Dr. Annie B. Martin,144 W 125th St,New York,NY,100274423,500,7/20/06,2006
SB21,NAACP New York Branch,Attn: Dr. Annie B. Martin,144 W 125th St,New York,NY,100274423,1500,5/18/07,2007
SB21,NAACP New York Branch,Attn: Dr. Annie B. Martin,144 W 125th St,New York,NY,100274423,500,5/21/08,2008
SB21,New York Restoration Project,31 W 56th St,,New York,NY,100193902,250,5/6/08,2008
SB21,New York University,Attn: Doug Edelson Fellowship Fund,25 West Fourth Street - Room 411,New York,NY,10012,1000,5/11/07,2007
SB21,Northen Manhattan Coalition for Economic,600 West 185th Street - 2nd Floor,,New York,NY,10033,2000,9/14/05,2005
SB21,Northen Manhattan Coalition for Economic,600 West 185th Street - 2nd Floor,,New York,NY,10033,500,11/3/06,2006
SB21,Northern Manhattan Community Voices for A,c/o Columbia University Mailman Sc,60 Haven Avenue,New York,NY,10032,500,7/16/10,2010
SB21,NY Gray Panthers Project Fund,c/o Judy Lear,36 East 38th Street Apt. 4F,New York,NY,10016,500,9/5/06,2006
SB21,NYS Alliance for Domestic & International Educ,163 W 125th Street,,New York,NY,10027,500,12/17/08,2008
SB21,NYU Stern,New York University,Peter Stuyvesant Station,New York,NY,100099984,250,11/27/07,2007
SB21,"One Hundred Black Men, Inc.",105 E 22nd St,,New York,NY,100105413,1000,2/20/08,2008
SB21,"One Hundred Black Men, Inc.",105 E 22nd St,,New York,NY,100105413,385,12/22/08,2008
SB21,Opus 118 Harlem School of Music,103 E. 125th Street,7th floor,New York,NY,10035,2000,12/4/08,2008
SB21,P.A.'L.A.N.T.E. Harlem,225 W 146th Street,Apt 21b,New York,NY,10039,500,12/15/09,2009
SB21,P.R.I.D.,401 Broadway,,New York,NY,100133006,500,5/18/07,2007
SB21,Parkinson's Disease Foundation,Attn: Carla Capone,30 East 29th Street Second Floor,New York,NY,10016,1500,5/2/05,2005
SB21,Parkinson's Disease Foundation,Attn: Carla Capone,30 East 29th Street Second Floor,New York,NY,10016,300,4/2/08,2008
SB21,"PFBL Scholarship Fund, Inc.",c/o Melvin E. Pratt,2225 5th Avenue #8B,New York,NY,10037,250,8/12/08,2008
SB21,"PFBL Scholarship Fund, Inc.",c/o Melvin E. Pratt,2225 5th Avenue #8B,New York,NY,10037,500,4/20/09,2009
SB21,Pilar Heimann,c/o Las Marchants Inc.,838 Riverside Drive,New York,NY,10032,500,8/24/07,2007
SB21,"Positive Workforce, Inc.",1814 Third Avenue,,New York,NY,10029,2500,10/31/08,2008
SB21,Presbyterian Senior Services,2095 Broadway,,New York,NY,100232895,400,3/2/06,2006
SB21,Puertorriquenos Unidos,181 E. 111th Street,,New York,NY,10029,1000,11/30/11,2011
SB21,Ralph J. Rangel Senior Center,159-36 Harlem River Drive,,New York,NY,10039,1000,7/11/06,2006
